CS ID,Ve0,Ve0-Vo0,dx0,Vy
LS-THC-G1-2-E1-10-00B-3030-00000264,60,40,19,0.5
LS-THC-G1-2-E1-10-00B-3030-00000265,60,40,20,0.5
LS-THC-G1-2-E1-10-00B-3030-00000266,60,40,21,0.5
LS-THC-G1-2-E1-10-00B-3030-00000267,60,40,22,0.5
LS-THC-G1-2-E1-10-00B-3030-00000268,60,40,23,0.5
LS-THC-G1-2-E1-10-00B-3030-00000269,60,40,24,0.5
LS-THC-G1-2-E1-10-00B-3030-00000270,60,40,25,0.5
LS-THC-G1-2-E1-10-00B-3030-00000271,60,40,26,0.5
LS-THC-G1-2-E1-10-00B-3030-00000272,60,40,27,0.5
LS-THC-G1-2-E1-10-00B-3030-00000273,60,40,28,0.5
LS-THC-G1-2-E1-10-00B-3030-00000274,60,40,29,0.5
LS-THC-G1-2-E1-10-00B-3030-00000275,60,40,30,0.5
LS-THC-G1-2-E1-10-00B-3030-00000276,60,40,31,0.5
LS-THC-G1-2-E1-10-00B-3030-00000277,60,40,32,0.5
LS-THC-G1-2-E1-10-00B-3030-00000278,60,40,33,0.5
LS-THC-G1-2-E1-10-00B-3030-00000279,60,40,34,0.5
LS-THC-G1-2-E1-10-00B-3030-00000280,60,40,35,0.5
LS-THC-G1-2-E1-10-00B-3030-00000281,60,40,36,0.5
LS-THC-G1-2-E1-10-00B-3030-00000282,60,40,37,0.5
LS-THC-G1-2-E1-10-00B-3030-00000283,60,40,38,0.5
LS-THC-G1-2-E1-10-00B-3030-00000284,60,40,39,0.5
LS-THC-G1-2-E1-10-00B-3030-00000285,60,40,40,0.5
LS-THC-G1-2-E1-10-00B-3030-00000286,60,40,41,0.5
LS-THC-G1-2-E1-10-00B-3030-00000287,60,40,42,0.5
LS-THC-G1-2-E1-10-00B-3030-00000288,60,40,43,0.5
LS-THC-G1-2-E1-10-00B-3030-00000289,60,40,44,0.5
LS-THC-G1-2-E1-10-00B-3030-00000290,60,40,45,0.5
LS-THC-G1-2-E1-10-00B-3030-00000291,60,40,46,0.5
LS-THC-G1-2-E1-10-00B-3030-00000292,60,40,47,0.5
LS-THC-G1-2-E1-10-00B-3030-00000293,60,40,48,0.5
LS-THC-G1-2-E1-10-00B-3030-00000294,60,40,49,0.5
LS-THC-G1-2-E1-10-00B-3030-00000295,60,40,50,0.5
LS-THC-G1-2-E1-10-00B-3030-00000296,60,40,51,0.5
LS-THC-G1-2-E1-10-00B-3030-00000297,60,40,52,0.5
LS-THC-G1-2-E1-10-00B-3030-00000298,60,40,53,0.5
LS-THC-G1-2-E1-10-00B-3030-00000299,60,40,54,0.5
LS-THC-G1-2-E1-10-00B-3030-00000300,60,40,55,0.5
LS-THC-G1-2-E1-10-00B-3030-00000301,60,40,56,0.5
LS-THC-G1-2-E1-10-00B-3030-00000302,60,40,57,0.5
LS-THC-G1-2-E1-10-00B-3030-00000303,60,40,58,0.5
LS-THC-G1-2-E1-10-00B-3030-00000304,60,40,59,0.5
LS-THC-G1-2-E1-10-00B-3030-00000305,60,40,60,0.5
LS-THC-G1-2-E1-10-00B-3030-00000306,60,40,0,0.6
LS-THC-G1-2-E1-10-00B-3030-00000307,60,40,1,0.6
LS-THC-G1-2-E1-10-00B-3030-00000308,60,40,2,0.6
LS-THC-G1-2-E1-10-00B-3030-00000309,60,40,3,0.6
LS-THC-G1-2-E1-10-00B-3030-00000310,60,40,4,0.6
LS-THC-G1-2-E1-10-00B-3030-00000311,60,40,5,0.6
LS-THC-G1-2-E1-10-00B-3030-00000312,60,40,6,0.6
LS-THC-G1-2-E1-10-00B-3030-00000313,60,40,7,0.6
LS-THC-G1-2-E1-10-00B-3030-00000314,60,40,8,0.6
LS-THC-G1-2-E1-10-00B-3030-00000315,60,40,9,0.6
LS-THC-G1-2-E1-10-00B-3030-00000316,60,40,10,0.6
LS-THC-G1-2-E1-10-00B-3030-00000317,60,40,11,0.6
LS-THC-G1-2-E1-10-00B-3030-00000318,60,40,12,0.6
LS-THC-G1-2-E1-10-00B-3030-00000319,60,40,13,0.6
